Befolkningens højest fuldførte uddannelse (15-69 år) efter
bopælsområde, køn, alder, herkomst, højest fuldførte uddannelse og tid

" ,"" "","" "","" "","" "",""2020"",""2021"",""2022"",""2023"",""2024"""
Hele landet
" ,""Mænd"""
" ,"" "",""20-24 år"""
" ,"" "","" "",""Personer med dansk oprindelse"""
" ,"" "","" "","" "",""H6059 Teknisk videnskab, BACH"",131,156,138,125,137"
" ,"" "","" "","" "",""H6075 Fødevarer, Bio- og laboratorieteknik, BACH"",1,1,0,0,0"
" ,"" "","" "","" "",""H6080 Jordbrug, natur og miljø, BACH"",0,2,2,1,1"
" ,"" "","" "","" "",""H6090 Sundhedsvidenskab, BACH"",71,57,57,52,39"
" ,"" "","" "","" "",""H6097 Videregående uddannelser uden nærmere angivelse, BACH"",1583,1535,1684,4597,5573"
" ,"" "","" "","" "",""H70 Lange videregående uddannelser, LVU"",594,745,740,702,594"
" ,"" "","" "","" "",""H7020 Pædagogisk, LVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H7025 Humanistisk og teologisk, LVU"",12,10,5,8,5"
" ,"" "","" "","" "",""H7030 Kunstnerisk, LVU"",7,11,10,9,9"
" ,"" "","" "","" "",""H7035 Naturvidenskab, LVU"",50,50,67,79,76"
" ,"" "","" "","" "",""H7039 Samfundsvidenskab, LVU"",123,96,95,87,103"
" ,"" "","" "","" "",""H7059 Teknisk videnskab, LVU"",112,125,132,148,129"
" ,"" "","" "","" "",""H7075 Fødevarer, Bio- og laboratorieteknik, LVU"",2,3,2,1,1"
" ,"" "","" "","" "",""H7080 Jordbrug, natur og miljø, LVU"",5,9,10,3,9"
" ,"" "","" "","" "",""H7090 Sundhedsvidenskab, LVU"",3,7,9,11,11"
" ,"" "","" "","" "",""H7095 Politi og forsvar mv., LVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H7097 Videregående uddannelser uden nærmere angivelse, LVU"",280,434,409,356,251"
" ,"" "","" "","" "",""H80 Ph.d. og forskeruddannelser"",39,62,33,22,22"
" ,"" "","" "","" "",""H8020 Pædagogisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8025 Humanistisk og teologisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8030 Kunstnerisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8035 Naturvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8039 Samfundsvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8059 Teknisk videnskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8080 Jordbrug, natur og miljø, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8090 Sundhedsvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8097 Videregående uddannelser uden nærmere angivelse, Ph.d."",39,62,33,22,22"
" ,"" "","" "",""Efterkommere"""
" ,"" "","" "","" "",""H3091 Grundforløb"",0,0,235,412,410"
" ,"" "","" "","" "",""H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse"",3,8,13,5,6"
" ,"" "","" "","" "",""H35 Adgangsgivende uddannelsesforløb"",17,9,5,7,11"
" ,"" "","" "","" "",""H3510 Adgangskurser - videregående udd."",8,4,0,1,5"
" ,"" "","" "","" "",""H3520 Adgangseksamen - ingeniøruddannelse"",9,5,5,6,6"
" ,"" "","" "","" "",""H3530 Adgangsgivende værkstedsskoleforløb"",0,0,0,0,0"
" ,"" "","" "","" "",""H40 Korte videregående uddannelser, KVU"",364,436,435,480,548"
" ,"" "","" "","" "",""H4020 Pædagogisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4024 Medier og kommunikation, KVU"",26,29,28,33,36"
" ,"" "","" "","" "",""H4025 Humanistisk og teologisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4030 Kunstnerisk, KVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H4038 Samfundsfaglig, Økonomisk-Merkantil, KVU"",250,313,305,340,378"
" ,"" "","" "","" "",""H4058 Teknisk, KVU"",69,67,63,74,104"
" ,"" "","" "","" "",""H4075 Fødevarer, bio- og laboratorieteknik, KVU"",4,6,3,5,3"
" ,"" "","" "","" "",""H4080 Jordbrug, natur og miljø, KVU"",1,0,1,1,0"
" ,"" "","" "","" "",""H4085 Maritimt, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4089 Sundhedsfaglig, KVU"",4,2,3,2,2"
" ,"" "","" "","" "",""H4095 Politi og forsvar mv., KVU"",9,16,16,14,15"
" ,"" "","" "","" "",""H4097 Videregående uddannelser uden nærmere angivelse, KVU"",1,3,15,11,10"
" ,"" "","" "","" "",""H50 Mellemlange videregående uddannelser, MVU"",219,282,313,373,413"
" ,"" "","" "","" "",""H5020 Pædagogisk, MVU"",24,38,45,55,52"
" ,"" "","" "","" "",""H5024 Medier og kommunikation, MVU"",0,4,3,2,3"
" ,"" "","" "","" "",""H5025 Humanistisk og teologisk, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5030 Kunstnerisk, MVU"",2,0,0,0,1"
" ,"" "","" "","" "",""H5038 Samfundsfaglig, Økonomisk-Merkantil, MVU"",50,60,78,103,116"
" ,"" "","" "","" "",""H5039 Samfundsvidenskab, MVU"",1,1,0,0,0"
" ,"" "","" "","" "",""H5058 Teknisk, MVU"",123,157,139,172,193"
" ,"" "","" "","" "",""H5059 Teknisk videnskab, MVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H5075 Fødevarer, Bio- og laboratorieteknik, MVU"",0,0,1,0,0"
" ,"" "","" "","" "",""H5080 Jordbrug, natur og miljø, MVU"",0,1,0,0,1"
" ,"" "","" "","" "",""H5085 Maritimt, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5089 Sundhedsfaglig, MVU"",13,12,10,17,29"
" ,"" "","" "","" "",""H5095 Politi og forsvar mv., MVU"",0,0,0,1,1"
" ,"" "","" "","" "",""H5097 Videregående uddannelser uden nærmere angivelse, MVU"",6,9,36,23,17"
" ,"" "","" "","" "",""H60 Bacheloruddannelser, BACH"",624,628,613,628,710"
" ,"" "","" "","" "",""H6020 Pædagogisk, BACH"",2,1,4,4,4"
" ,"" "","" "","" "",""H6025 Humanistisk og teologisk, BACH"",49,43,25,28,31"
" ,"" "","" "","" "",""H6030 Kunstnerisk, BACH"",8,3,3,2,5"
" ,"" "","" "","" "",""H6035 Naturvidenskab, BACH"",65,78,86,89,89"
" ,"" "","" "","" "",""H6039 Samfundsvidenskab, BACH"",282,290,296,306,334"
" ,"" "","" "","" "",""H6059 Teknisk videnskab, BACH"",89,92,91,101,102"
" ,"" "","" "","" "",""H6075 Fødevarer, Bio- og laboratorieteknik, BACH"",0,1,2,1,0"
" ,"" "","" "","" "",""H6080 Jordbrug, natur og miljø, BACH"",1,1,1,1,4"
" ,"" "","" "","" "",""H6090 Sundhedsvidenskab, BACH"",126,118,99,92,130"
" ,"" "","" "","" "",""H6097 Videregående uddannelser uden nærmere angivelse, BACH"",2,1,6,4,11"
" ,"" "","" "","" "",""H70 Lange videregående uddannelser, LVU"",76,94,84,102,101"
" ,"" "","" "","" "",""H7020 Pædagogisk, LVU"",0,0,0,1,1"
" ,"" "","" "","" "",""H7025 Humanistisk og teologisk, LVU"",1,6,5,1,1"
" ,"" "","" "","" "",""H7030 Kunstnerisk, LVU"",0,1,0,0,0"
" ,"" "","" "","" "",""H7035 Naturvidenskab, LVU"",9,14,11,19,16"
" ,"" "","" "","" "",""H7039 Samfundsvidenskab, LVU"",44,45,39,48,53"
" ,"" "","" "","" "",""H7059 Teknisk videnskab, LVU"",18,22,20,18,20"
" ,"" "","" "","" "",""H7075 Fødevarer, Bio- og laboratorieteknik, LVU"",0,0,0,1,0"
" ,"" "","" "","" "",""H7080 Jordbrug, natur og miljø, LVU"",0,0,0,0,1"
" ,"" "","" "","" "",""H7090 Sundhedsvidenskab, LVU"",4,6,5,4,7"
" ,"" "","" "","" "",""H7095 Politi og forsvar mv., LVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H7097 Videregående uddannelser uden nærmere angivelse, LVU"",0,0,4,10,2"
" ,"" "","" "","" "",""H80 Ph.d. og forskeruddannelser"",0,0,5,5,3"
" ,"" "","" "","" "",""H8020 Pædagogisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8025 Humanistisk og teologisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8030 Kunstnerisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8035 Naturvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8039 Samfundsvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8059 Teknisk videnskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8080 Jordbrug, natur og miljø, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8090 Sundhedsvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8097 Videregående uddannelser uden nærmere angivelse, Ph.d."",0,0,5,5,3"
" ,"" "",""25-29 år"""
" ,"" "","" "",""Personer med dansk oprindelse"""
" ,"" "","" "","" "",""H3091 Grundforløb"",0,0,358,585,685"
" ,"" "","" "","" "",""H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse"",24,24,32,43,38"
" ,"" "","" "","" "",""H35 Adgangsgivende uddannelsesforløb"",200,176,143,122,106"
" ,"" "","" "","" "",""H3510 Adgangskurser - videregående udd."",2,1,1,1,0"
" ,"" "","" "","" "",""H3520 Adgangseksamen - ingeniøruddannelse"",198,175,142,121,106"
" ,"" "","" "","" "",""H3530 Adgangsgivende værkstedsskoleforløb"",0,0,0,0,0"
" ,"" "","" "","" "",""H40 Korte videregående uddannelser, KVU"",9327,9762,9862,9927,10064"
" ,"" "","" "","" "",""H4020 Pædagogisk, KVU"",8,5,2,3,4"
" ,"" "","" "","" "",""H4024 Medier og kommunikation, KVU"",910,795,722,671,644"
" ,"" "","" "","" "",""H4025 Humanistisk og teologisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4030 Kunstnerisk, KVU"",17,21,19,20,13"
" ,"" "","" "","" "",""H4038 Samfundsfaglig, Økonomisk-Merkantil, KVU"",4365,4587,4752,4887,5000"
" ,"" "","" "","" "",""H4058 Teknisk, KVU"",2602,2735,2664,2685,2676"
" ,"" "","" "","" "",""H4075 Fødevarer, bio- og laboratorieteknik, KVU"",248,224,211,184,157"
" ,"" "","" "","" "",""H4080 Jordbrug, natur og miljø, KVU"",213,216,226,224,208"
" ,"" "","" "","" "",""H4085 Maritimt, KVU"",61,64,62,72,83"
" ,"" "","" "","" "",""H4089 Sundhedsfaglig, KVU"",29,28,22,19,19"
" ,"" "","" "","" "",""H4095 Politi og forsvar mv., KVU"",833,1051,1154,1124,1187"
" ,"" "","" "","" "",""H4097 Videregående uddannelser uden nærmere angivelse, KVU"",41,36,28,38,73"
" ,"" "","" "","" "",""H50 Mellemlange videregående uddannelser, MVU"",17396,17863,18149,18024,17979"
" ,"" "","" "","" "",""H5020 Pædagogisk, MVU"",4005,3965,3949,3843,3670"
" ,"" "","" "","" "",""H5024 Medier og kommunikation, MVU"",924,929,891,872,828"
" ,"" "","" "","" "",""H5025 Humanistisk og teologisk, MVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H5030 Kunstnerisk, MVU"",416,433,371,304,238"
" ,"" "","" "","" "",""H5038 Samfundsfaglig, Økonomisk-Merkantil, MVU"",3704,3925,4060,4108,4231"
" ,"" "","" "","" "",""H5039 Samfundsvidenskab, MVU"",13,20,14,10,27"
" ,"" "","" "","" "",""H5058 Teknisk, MVU"",6326,6559,6833,6852,6924"
" ,"" "","" "","" "",""H5059 Teknisk videnskab, MVU"",0,14,31,39,54"
" ,"" "","" "","" "",""H5075 Fødevarer, Bio- og laboratorieteknik, MVU"",108,120,118,132,128"
" ,"" "","" "","" "",""H5080 Jordbrug, natur og miljø, MVU"",154,162,170,148,157"
" ,"" "","" "","" "",""H5085 Maritimt, MVU"",120,112,100,104,106"
" ,"" "","" "","" "",""H5089 Sundhedsfaglig, MVU"",1509,1520,1515,1497,1500"
" ,"" "","" "","" "",""H5095 Politi og forsvar mv., MVU"",76,72,68,81,83"
" ,"" "","" "","" "",""H5097 Videregående uddannelser uden nærmere angivelse, MVU"",41,32,29,34,33"
" ,"" "","" "","" "",""H60 Bacheloruddannelser, BACH"",12109,12310,12636,12863,13262"
" ,"" "","" "","" "",""H6020 Pædagogisk, BACH"",14,20,25,22,22"
" ,"" "","" "","" "",""H6025 Humanistisk og teologisk, BACH"",2505,2354,2244,2189,2203"
" ,"" "","" "","" "",""H6030 Kunstnerisk, BACH"",540,532,529,487,486"
" ,"" "","" "","" "",""H6035 Naturvidenskab, BACH"",2168,2118,2178,2211,2354"
" ,"" "","" "","" "",""H6039 Samfundsvidenskab, BACH"",4224,4460,4690,4892,4998"
" ,"" "","" "","" "",""H6059 Teknisk videnskab, BACH"",1483,1588,1753,1854,2041"
" ,"" "","" "","" "",""H6075 Fødevarer, Bio- og laboratorieteknik, BACH"",24,41,41,32,29"
" ,"" "","" "","" "",""H6080 Jordbrug, natur og miljø, BACH"",139,156,147,129,117"
" ,"" "","" "","" "",""H6090 Sundhedsvidenskab, BACH"",968,990,965,1006,949"
" ,"" "","" "","" "",""H6097 Videregående uddannelser uden nærmere angivelse, BACH"",44,51,64,41,63"
" ,"" "","" "","" "",""H70 Lange videregående uddannelser, LVU"",20220,20894,21247,21494,21139"
" ,"" "","" "","" "",""H7020 Pædagogisk, LVU"",123,134,118,114,96"
" ,"" "","" "","" "",""H7025 Humanistisk og teologisk, LVU"",2369,2326,2114,1881,1656"
" ,"" "","" "","" "",""H7030 Kunstnerisk, LVU"",300,309,297,298,268"
" ,"" "","" "","" "",""H7035 Naturvidenskab, LVU"",2943,3126,3134,3228,3278"
" ,"" "","" "","" "",""H7039 Samfundsvidenskab, LVU"",8954,9206,9488,9678,9764"
" ,"" "","" "","" "",""H7059 Teknisk videnskab, LVU"",4220,4456,4691,4894,4752"
" ,"" "","" "","" "",""H7075 Fødevarer, Bio- og laboratorieteknik, LVU"",31,37,47,58,59"
" ,"" "","" "","" "",""H7080 Jordbrug, natur og miljø, LVU"",193,206,233,237,214"
" ,"" "","" "","" "",""H7090 Sundhedsvidenskab, LVU"",1033,1049,1100,1082,1026"
" ,"" "","" "","" "",""H7095 Politi og forsvar mv., LVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H7097 Videregående uddannelser uden nærmere angivelse, LVU"",54,45,25,24,26"
" ,"" "","" "","" "",""H80 Ph.d. og forskeruddannelser"",99,98,96,77,84"
" ,"" "","" "","" "",""H8020 Pædagogisk, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8025 Humanistisk og teologisk, Ph.d."",0,2,2,2,0"
" ,"" "","" "","" "",""H8030 Kunstnerisk, Ph.d."",9,7,10,7,4"
" ,"" "","" "","" "",""H8035 Naturvidenskab, Ph.d."",43,34,40,31,37"
" ,"" "","" "","" "",""H8039 Samfundsvidenskab, Ph.d."",8,9,11,8,7"
" ,"" "","" "","" "",""H8059 Teknisk videnskab, Ph.d."",28,39,27,23,31"
" ,"" "","" "","" "",""H8080 Jordbrug, natur og miljø, Ph.d."",1,0,2,1,1"
" ,"" "","" "","" "",""H8090 Sundhedsvidenskab, Ph.d."",8,5,2,4,3"
" ,"" "","" "","" "",""H8097 Videregående uddannelser uden nærmere angivelse, Ph.d."",2,2,2,1,1"
" ,"" "","" "",""Indvandrere"""
" ,"" "","" "","" "",""H3091 Grundforløb"",0,0,42,71,74"
" ,"" "","" "","" "",""H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse"",2036,2115,2422,2451,2186"
" ,"" "","" "","" "",""H35 Adgangsgivende uddannelsesforløb"",72,61,51,50,38"
" ,"" "","" "","" "",""H3510 Adgangskurser - videregående udd."",24,21,16,16,12"
" ,"" "","" "","" "",""H3520 Adgangseksamen - ingeniøruddannelse"",48,40,35,34,26"
