køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Kvinder,Indvandrere,25-29 år,LVU,16740.0,17038.0,18658.0,18756.0,18460.0,High
Kvinder,Indvandrere,25-29 år,MVU,19040.0,17890.0,19894.0,14760.0,12908.0,Medium
Kvinder,Indvandrere,25-29 år,H80 Ph.d. og forskeruddannelser,271.0,294.0,387.0,341.0,331.0,High
Kvinder,Indvandrere,30-34 år,BACH,1694.0,1818.0,1938.0,5056.0,6884.0,High
Kvinder,Indvandrere,30-34 år,H3091 Grundforløb,0.0,0.0,36.0,46.0,45.0,Low
Kvinder,Indvandrere,30-34 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,1661.0,1643.0,1790.0,1966.0,1771.0,Other
Kvinder,Indvandrere,30-34 år,H35 Adgangsgivende uddannelsesforløb,135.0,134.0,109.0,106.0,95.0,Low
Kvinder,Indvandrere,30-34 år,H3510 Adgangskurser - videregående udd.,118.0,112.0,89.0,95.0,82.0,Low
Kvinder,Indvandrere,30-34 år,H3520 Adgangseksamen - ingeniøruddannelse,17.0,22.0,20.0,11.0,13.0,Low
Kvinder,Indvandrere,30-34 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Indvandrere,30-34 år,H80 Ph.d. og forskeruddannelser,1385.0,1477.0,1665.0,1571.0,1701.0,High
Kvinder,Indvandrere,30-34 år,KVU,4104.0,4356.0,4906.0,4876.0,4932.0,Medium
Kvinder,Indvandrere,30-34 år,LVU,21900.0,22492.0,24500.0,24904.0,24780.0,High
Kvinder,Indvandrere,30-34 år,MVU,20024.0,20258.0,23688.0,21468.0,20568.0,Medium
Kvinder,Indvandrere,30-34 år,H80 Ph.d. og forskeruddannelser,1385.0,1477.0,1665.0,1571.0,1701.0,High
Kvinder,Indvandrere,35-39 år,BACH,900.0,872.0,846.0,2644.0,3654.0,High
Kvinder,Indvandrere,35-39 år,H3091 Grundforløb,0.0,0.0,46.0,52.0,46.0,Low
Kvinder,Indvandrere,35-39 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,1652.0,1731.0,1993.0,2176.0,2164.0,Other
Kvinder,Indvandrere,35-39 år,H35 Adgangsgivende uddannelsesforløb,133.0,114.0,114.0,106.0,116.0,Low
Kvinder,Indvandrere,35-39 år,H3510 Adgangskurser - videregående udd.,120.0,104.0,104.0,94.0,110.0,Low
Kvinder,Indvandrere,35-39 år,H3520 Adgangseksamen - ingeniøruddannelse,13.0,10.0,10.0,12.0,6.0,Low
Kvinder,Indvandrere,35-39 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Indvandrere,35-39 år,H80 Ph.d. og forskeruddannelser,1463.0,1537.0,1825.0,1902.0,2162.0,High
Kvinder,Indvandrere,35-39 år,KVU,3706.0,3804.0,4486.0,4738.0,4982.0,Medium
Kvinder,Indvandrere,35-39 år,LVU,17278.0,18682.0,21460.0,22602.0,23246.0,High
