område,køn,alder,herkomst,uddannelse,2020,2021,2022,2023,2024
Hele landet,Mænd,20-24 år,Efterkommere,MVU,24.0,38.0,45.0,55.0,52.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,4.0,3.0,2.0,3.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,2.0,0.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,50.0,60.0,78.0,103.0,116.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,1.0,1.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,123.0,157.0,139.0,172.0,193.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,1.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,13.0,12.0,10.0,17.0,29.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,0.0,0.0,0.0,1.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,MVU,6.0,9.0,36.0,23.0,17.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,624.0,628.0,613.0,628.0,710.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,2.0,1.0,4.0,4.0,4.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,49.0,43.0,25.0,28.0,31.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,8.0,3.0,3.0,2.0,5.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,65.0,78.0,86.0,89.0,89.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,282.0,290.0,296.0,306.0,334.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,89.0,92.0,91.0,101.0,102.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,0.0,1.0,2.0,1.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,1.0,1.0,1.0,1.0,4.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,126.0,118.0,99.0,92.0,130.0
Hele landet,Mænd,20-24 år,Efterkommere,BACH,2.0,1.0,6.0,4.0,11.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,76.0,94.0,84.0,102.0,101.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,0.0,0.0,1.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,1.0,6.0,5.0,1.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,1.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,9.0,14.0,11.0,19.0,16.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,44.0,45.0,39.0,48.0,53.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,18.0,22.0,20.0,18.0,20.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,0.0,0.0,1.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,0.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,4.0,6.0,5.0,4.0,7.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,LVU,0.0,0.0,4.0,10.0,2.0
Hele landet,Mænd,20-24 år,Efterkommere,H80 Ph.d. og forskeruddannelser,0.0,0.0,5.0,5.0,3.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Efterkommere,Ph.d.,0.0,0.0,0.0,0.0,0.0
